Chunk,Embedding (first 10 dims)
"3.4. ERP SİSTEMİ YAZILIM SEÇİM KISTASLARI…………...………...…..………...….50 
 
4.BÖLÜM: SENTİM BİLİŞİM’DE ERP PAKET SEÇİM PROJESİ 
 
 4.1.FİRMA PROFİLİ……………………………...……………………………..………55 
 4.2. SENTİM BİLİŞİMİN ERP' YE GEÇİŞ SÜRECİ…………..……………….….…..56 
 4.3.SENTİM BİLİŞİMDE YAPILAN ERP SEÇİM METODOLOJİSİ…………..…….57 
 4.4.PROGRAM SEÇİM MODELLERİNDEN TALEP EDİLEN TEMEL  
 
 
vi
 
 
       ÖZELLİKLER……………………………………………………….……...……….60 
4.4.1.Program Seçim Modelleri: Açık Bir İnceleme……………...………………..60","[-0.02161479  0.00644164 -0.06168782 -0.04461823 -0.08535677 -0.02971144
  0.00250204  0.16986349  0.0474281   0.00565671]"
"4.4.1.Program Seçim Modelleri: Açık Bir İnceleme……………...………………..60 
4.4.2.Eski Modellerin Hataları ve Yetersizlikleri………………………...………...61 
4.4.3.Yüzde Bazlı Ağaç Modeli……………………………...…………………..…62 
SONUÇ VE DEĞERLENDİRME………………...………………………………………..75 
KAYNAKLAR……...………………………………...……………………………………..81 
EKLER............................................................................................................................... 84","[-0.03688078 -0.00601501 -0.06693313 -0.03003604 -0.07548264 -0.00488878
 -0.04963988  0.12639478  0.03485447 -0.02661641]"
"Ek 1 Sentim Bilişim ERP Anket Çalışması........................................................................ 84 
   Ek 2 RFP Listesi ............................................................................................................... 95 
ÖZGEÇMİŞ..................................................................................................................... 102 
 
 
 
 
vii
 
KISALTMA LİSTESİ 
ASP 
: Active Server Page (Aktif Sunucu Sayfası)","[ 0.00694215  0.02444363 -0.03716898 -0.01029717 -0.05711137 -0.02969056
  0.03654117  0.1036042  -0.00135604 -0.00154298]"
"vii
 
KISALTMA LİSTESİ 
ASP 
: Active Server Page (Aktif Sunucu Sayfası) 
BOM : Bill Of Material (Malzeme Listesi) 
BS 
: Bilgi Sistemleri 
BT 
: Bilgi Teknolojileri 
CAD :  Computer Aided Design (Bilgisayar Destekli Tasarım) 
CAM :  Computer Aided Manufacturing (Bilgisayar Destekli İmalat) 
CLMRP:Closed Loop Material Requirement Planning( Kapalı Çevrim Malzeme                   
İhtiyaç Planı) 
CRM :  Customer Relationship Management (Müşteri İlişkileri Yönetimi) 
CRP","[-0.04790926  0.00810089 -0.05921688  0.02070468 -0.06047576 -0.00242868
  0.05105072  0.05260227 -0.05960938 -0.02920457]"
"İhtiyaç Planı) 
CRM :  Customer Relationship Management (Müşteri İlişkileri Yönetimi) 
CRP 
:  Capacity Requirement Planning (Kapasite İhtiyaç Planlaması) 
DRP :  Distribution Resource Planning (Dağıtım Kaynakları Planlaması) 
EDI 
:  Elektronik Data Interchange (Elektronik Veri Değişimi) 
ERP 
:  Enterprise Resource Planning (Kurumsal Kaynak Planlaması) 
ERPII :  Geliştirilmiş Kurumsal Kaynak Planlaması 
MIS 
:  Management Information Systems (Yönetim Bilgi Sistemleri)","[-0.01665974  0.0263419  -0.02131304 -0.00250056 -0.05364614 -0.02989708
  0.027768    0.06008591 -0.01715306 -0.0047941 ]"
"MIS 
:  Management Information Systems (Yönetim Bilgi Sistemleri) 
MPS :  Mother Process Scheduling (Ana Üretim Çizelgesi) 
MRP :  Material Requirement Planning (Malzeme İhtiyaç Planlaması) 
MRPII :  Manufacturing Resource Planning (İmalat Kaynakları Planlaması) 
OLAP :  Online Analytical Processing (Çevrimiçi Analitik Yöntemler) 
RCCP :  Rough Cut Capacity Planning (Kaba Kapasite Planlaması) 
RFP 
:  Request For Proposal (Teklife Çağrı Dosyası)","[-0.05536869  0.0390198  -0.01385321 -0.0166384  -0.02980029 -0.05191816
 -0.00114215  0.0868511  -0.07584137  0.01977601]"
"RFP 
:  Request For Proposal (Teklife Çağrı Dosyası) 
SCM :  Supply Chain Managment (Tedarik Zinciri Yönetimi) 
 
 
 
 
 
 
viii
 
ŞEKİL LİSTESİ 
Şekil.1. ERP Sisteminin Kronolojik Gelişimi..............................................................11 
Şekil 2. Değişen Rekabet Unsurları..........................................………………………12 
Şekil.3. Ürün Ağaçlarında Baba Oğul İlişkisi..............................................................15","[-0.08048417  0.03042111 -0.04389454 -0.02392091 -0.0714323  -0.0208369
 -0.02066478  0.07878587 -0.06911471 -0.05793141]"
"Şekil.4. MRP Sistemi.............................................................................................….18 
Şekil.5. Kapalı Çevrim MRP Sistemi.....................................................................….19 
Şekil.6. CRP Döngüsü ...........................................................................................….21 
Şekil.7. Üretim Kaynakları Planlaması (MRPII) Sistemi.............................................25","[-0.05011103  0.01076769 -0.03022998 -0.02563321 -0.07539782 -0.00427488
  0.00998993  0.11961498  0.0118115  -0.02715513]"
"Şekil.8. ERP Sistemi...............................................................................................…28 
Şekil.9. ERP Sisteminin Kapsamı ...........................................................................…29 
Şekil.10.Sınıflandırmanın Yapısı ve Alt Etmenler...................................................…30 
Şekil.11.ERP Kurma Sebepleri ve Beklentiler.............................................................34","[-4.75206859e-02  3.29918345e-03  5.60096669e-05 -1.69765335e-02
 -5.50131835e-02 -1.28084915e-02  3.96022797e-02  1.16158195e-01
  9.77137219e-03 -2.24532355e-02]"
"Şekil.12.ERP II Sisteminin Kapsamı...........................................................................37 
Şekil.13.ERP' den ERP II’ ye Geçiş............................................................................40 
Şekil.14.ERP Yazılımı Global Pazar Payları ...............................................................47 
Şekil.15.Fonksiyonel Kriterler Ağacı..........................................................................68","[-0.01841865  0.03508342 -0.01553815 -0.01680962 -0.05914499 -0.036347
  0.02214159  0.1146616   0.00608081  0.00307801]"
"Şekil.16.Fonksiyonel Olmayan Kriterler Ağacı….…….…..…………………………..69
 
 
ix
 
ÇİZELGE LİSTESİ 
Çizelge.1: ERP’ nin Küresel Pazardaki Konumu........................................................ 43 
   Çizelge.2: Dünya Çapında En Büyük Beş Yazılım Şirketinin Pazar Payları................ 44 
Çizelge.3: Dünya Çapında En Büyük Dört ERP Yazılım Paketlerinin    
Karşılaştırılması........................................................................................ 45","[ 0.01151128  0.0194754  -0.04098313 -0.00962494 -0.10877086  0.02253068
  0.0745661   0.09270573  0.00372135  0.01632868]"
"Çizelge.4: RFP Listesi (Genel İhtiyaçlar Kıstasları) ................................................... 58 
Çizelge.5: RFP Listesi (Mali İşler Talepleri) .............................................................. 59 
Çizelge.6: Fonksiyonel Olmayan Kıstasların Performans Oranları ............................. 71 
Çizelge.7: Fonksiyonel Kıstasların Performans Oranları ............................................ 72","[ 0.00553136  0.0142933  -0.02625195 -0.04583033 -0.12717773  0.09162667
  0.0181988   0.05437176 -0.01141383  0.05331358]"
"Çizelge.8: Fonksiyonel Olmayan Kıstasların Karşılaştırılması.................................... 72 
   Çizelge.9: Fonksiyonel Kıstasların Karşılaştırılması................................................... 74 
 
 
 
x
 
 
ÖNSÖZ 
Uluslararası rekabetin artması, gümrük duvarlarının kalkması ve uluslararası 
ticaretin yaygınlaşması ile tüm firmalar yeni sistem ve stratejiler aramaya ve izlemeye 
başlamışlardır. 
Son yıllarda batı ülkelerinde yoğun ilgi gören bilgisayarla endüstriyel yönetim","[-0.03107326  0.02852223 -0.07161142  0.0231562  -0.07800769  0.04941975
  0.03830118  0.13726969 -0.06232563  0.02328492]"
"başlamışlardır. 
Son yıllarda batı ülkelerinde yoğun ilgi gören bilgisayarla endüstriyel yönetim 
teknikleri uygulamalarının içinde en yaygın olan ve uygulamada çok başarılı sonuçlar 
elde edilen kavramın, Kurumsal Kaynak Planlaması (ERP) olduğu bilinmektedir. ERP, 
üretimde darboğazların giderilmesine, dağıtım kaynaklarının daha iyi planlanmasına 
müşteri hizmetlerinin iyileştirilmesine ve stokların minimum seviyede tutularak en iyi","[ 0.03624555  0.04305986 -0.01148497  0.02572619 -0.09232549 -0.00415088
  0.05191044  0.09146999 -0.03906415 -0.00938464]"
"müşteri hizmetlerinin iyileştirilmesine ve stokların minimum seviyede tutularak en iyi 
şekilde kullanılmasına imkân vermektedir. Ülkemizde ERP yazılımları, özellikle büyük 
ölçekli işletmelerde giderek yaygınlaşmakta ve birçok sektörde aranılır hale 
gelmektedir. Bu çalışmada ERP’ nin geçmişi, şu anki durumu ve geleceği incelenerek 
seçim sürecinde nasıl bir yöntem izlenilmesi gerektiği anlatılmıştır. 
Bu gün itibari ile doğru ve istenildiği anda erişilen bilginin önemi tartışılmaz bir","[ 0.02495358  0.05275424 -0.01817168  0.03612757 -0.09706883 -0.00358439
  0.09295474  0.07369158  0.01708486 -0.03526707]"
"Bu gün itibari ile doğru ve istenildiği anda erişilen bilginin önemi tartışılmaz bir 
şekilde artmıştır. İşletmelerin karar vericileri kararlarındaki etkinliği artırabilmek için 
daha hızlı, daha fazla bilgiye ihtiyaç duymaktadır. ERP sistemleri ile işletmeler daha 
fazla bilgiye daha düşük maliyetlerle sahip olabilmektedirler. Bunun içinde projenin ilk 
adımı olan “yazılım seçimi”nin doğru yapılması gerekir. 
Bu tezin hazırlanmasında,  çalışmamın ortaya çıkmasında bana yardımcı olan,","[-0.0076777   0.00697993 -0.01354759 -0.00354722 -0.09595661 -0.00998574
  0.10037332  0.08596887  0.01614125 -0.00582078]"
"Bu tezin hazırlanmasında,  çalışmamın ortaya çıkmasında bana yardımcı olan, 
istediğim konuyu seçme özgürlüğünü bana tanıyan, ders içi ve ders dışı konuşmaları ile 
beni daima motive eden tez danışmanım Yrd. Doç. Dr. Hüseyin ŞENKAYAS’ a, 
projemle ilgilenip kaynak bulmama ve derleme-düzeltme çalışmalarımda büyük desteği 
olan, Doç.Dr. İbrahim BAKIRTAŞ, Yrd. Doç. Dr. Rafet AKTAŞ, Öğr. Gör. Kıvanç 
BAŞARAN’ a ve hiçbir zaman desteklerini benden esirgemeyen aileme teşekkürlerimi 
sunarım.","[-0.04734939  0.07598957 -0.04513473  0.00576954 -0.04463153 -0.00509885
  0.01629802  0.12134868  0.02322418  0.02188471]"
"BAŞARAN’ a ve hiçbir zaman desteklerini benden esirgemeyen aileme teşekkürlerimi 
sunarım. 
ERP kavramını tanıtıp, ERP kültürünü tanımama yardımcı olan, kaynak 
bulmamda ve ERP seçim sürecini anlattığım bu projemin uygulama konusunda hiçbir 
yardımını esirgemeyen, en yoğun iş temposunda bile bana zaman ayıran Sentim Bilişim 
ERP Proje Yöneticilerine teşekkürü bir borç bilirim. 
 
 
 
xi
 
 
ÖZET 
Günümüzde başta üretim sektörü olmak üzere hemen her alanda bilgiyi kâra","[ 0.04325507  0.02943522 -0.04603343 -0.01941267 -0.09557103 -0.00408978
  0.09906019  0.10034139  0.04781945 -0.03487811]"
"xi
 
 
ÖZET 
Günümüzde başta üretim sektörü olmak üzere hemen her alanda bilgiyi kâra 
dönüştüren sistemler büyük rağbet görmektedir. Bu sistemlerin başında Kurumsal 
Kaynak Planlaması (ERP) yer almaktadır.  
ERP; şirket içindeki tüm departmanları ayrıca farklı bölgelerde bulunan 
fabrikaları, bunların tedarikçi firmalarını ve dağıtım merkezlerini bilgisayar vasıtasıyla 
birbirine bağlamak suretiyle etkin veri akışını sağlamaktadır. ERP; malzeme tedarik","[ 0.01024006  0.04038392 -0.00954171  0.03522481 -0.05665696  0.04186735
  0.09697699  0.05949874 -0.01449869 -0.03839022]"
"birbirine bağlamak suretiyle etkin veri akışını sağlamaktadır. ERP; malzeme tedarik 
etme, stok kontrol, üretim, pazarlama, sevkıyat, finans ve muhasebe gibi fonksiyonların 
tümünün bütünleşik olarak gerçekleştirildiği bir bilgisayar yazılımıdır. 
ERP’ nin temelleri 1960’ lı yıllarda atılmaya başlanmıştır. Bu yıllar envanter 
kontrolünün önemli olduğu yıllardır. İşletmeler bu amaçla bilgisayar sistemlerini 
kullanmaya başlamışlardır. Bilgi teknolojilerinin yaygınlaşmaya başlamasıyla üretim","[ 0.01789357 -0.00468598 -0.00686026  0.01514102 -0.11570878 -0.0072005
  0.08732408  0.08064516  0.00450278 -0.05294126]"
"kullanmaya başlamışlardır. Bilgi teknolojilerinin yaygınlaşmaya başlamasıyla üretim 
planlama, stok kontrol ve üretim takibi uygulamaları ile Malzeme İhtiyaç Planlaması 
(MRP) ve Üretim Kaynakları Planlaması (MRP II) uygulamaları da bilgisayar 
teknolojisine taşınmıştır. 1990’lı yıllara gelindiğinde ise firmaların, bilgisayarları, karar 
verme amaçlı kullanmaya başlamasıyla ERP, hayatımızdaki yerini almaya başlamıştır. 
ERP’ nin ortaya çıkışı ve günümüzdeki konumuna ulaşması; MRP ile MRP II","[-0.01882108 -0.01983922  0.04082706  0.0116975  -0.08683285  0.00669259
  0.00349293  0.09893008 -0.0600355  -0.0294672 ]"
"ERP’ nin ortaya çıkışı ve günümüzdeki konumuna ulaşması; MRP ile MRP II 
sistemlerinin birleştirilip, bu sistemlere günün koşullarına ve teknolojik gelişmelere 
uygun eklemelerin yapılmasıyla olmuştur. 
ERP’ yi diğer sistemlerden ayıran önemli özelliklerden biri, veriye erişim 
kolaylığı sunmasıdır. Rekabette başarılı olmak için kaynakların verimli bir biçimde 
idare edilmesi gerekliliği aşikârdır. Bunun için, tamamen entegre çalışan; planlamadan","[ 0.01698266  0.04400232  0.00443582  0.02034223 -0.08015661 -0.00404539
  0.05645667  0.07749197  0.03178274 -0.02758147]"
"idare edilmesi gerekliliği aşikârdır. Bunun için, tamamen entegre çalışan; planlamadan 
satışa, sevkıyattan maliyete kadar her akışın kontrol edilebildiği iyi bir bilgi altyapısına 
ihtiyaç duyulmaktadır. Bu aşamada ERP, müşteri ilişkilerinden üretim planlamaya, her 
noktada kaynakları en etkin biçimde izlenmesine ve buna ilişkin birtakım kararlar 
alınmasına yardımcı bir sistem konumundadır. 
ERP’ nin kurulumu ve kurulum sonrası tam olarak işlerlik kazanması uzun bir","[ 0.00945064  0.02259614  0.04155683 -0.01498462 -0.10489738  0.01223778
  0.0980974   0.0521459   0.02400652 -0.00156188]"
"ERP’ nin kurulumu ve kurulum sonrası tam olarak işlerlik kazanması uzun bir 
süreç ve maliyet gerektirmektedir. ERP paketi bir kez satın alınıp, işletmeye 
uygulandıktan sonra geriye dönüşü çok zordur. Bu nedenle satın alma sürecinde işletme, 
 
 
xii
 
ihtiyaçlarını çok iyi belirlemeli ve ihtiyaçlarına en iyi cevabı verebilecek ERP paketini 
seçmelidir. 
Bu çalışmada, Türk bilişim pazarında en büyük paya sahip ve ERP paketini","[ 0.03650187  0.0701777  -0.01055317 -0.0276909  -0.10030234 -0.0175219
  0.12618922  0.00741684  0.0143734   0.01679553]"
"seçmelidir. 
Bu çalışmada, Türk bilişim pazarında en büyük paya sahip ve ERP paketini 
Türkiye’de ilk kullanmaya başlamış şirket olan SENTİM Bilişim’ de ERP Paketi seçim 
süreci incelenmiştir. Hangi paketin firma için daha yararlı olacağı, tedarikçi yazılım 
firmalarına gönderilen Teklife Çağrı Listesi (RFP) ve işletme çalışanlarına uygulanan 
anket sonuçlarına göre belirlenmeye çalışılmıştır. Yapılan araştırmalar ve çalışmalar","[ 0.02203413  0.0324606  -0.01474524  0.00150735 -0.09036233  0.01934213
  0.08712159  0.00850111 -0.01695763  0.03289547]"
"anket sonuçlarına göre belirlenmeye çalışılmıştır. Yapılan araştırmalar ve çalışmalar 
sonucunda uluslar arası bir şirket olan IFS firmasının ERP paketi uygun bulunmuştur. 
Anahtar Kelimeler: ERP, MRP, MRP II 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
xiii
 
ABSTRACT 
Nowadays, especially in production sector, the systems which convert 
information to profit are strongly demanded. Enterprise Resource Planning (ERP) is at 
the top of these systems.","[ 0.02356507  0.09140336 -0.04577751 -0.04732785 -0.01954013 -0.01387318
  0.04290958  0.05925551  0.03198785  0.03287848]"
"the top of these systems.   
ERP enables efficient data flow among the factories located in different regions 
inside departments, their supplier companies and distribution centers by means of the 
computer based connection in the company. ERP is a computer software, which carries 
out the activities (material supply, stock control, production, marketing, sending, 
finance and accounting) synchronically.  
The foundation of ERP has been started, in the 1960 year. The inventory control","[ 0.00475781  0.01553891 -0.02155656 -0.01181474  0.02191881  0.00752719
  0.05955549  0.04194639  0.05082972  0.01699775]"
"The foundation of ERP has been started, in the 1960 year. The inventory control 
was vital in these years. Then, the companies have started to use computer based 
systems for that purpose. By the help of development of information technologies, 
production planning, stock control, production follow and Material Requirement 
Planning (MRP), Production Resource Planning (MRP II) applications have also moved 
to the computer based technology. In the 1990 year, companies have started to use","[ 0.00869581 -0.00177597 -0.0072032  -0.01023125  0.01684424  0.02384676
 -0.00556841  0.09298228 -0.01634228  0.02719405]"
"to the computer based technology. In the 1990 year, companies have started to use 
computers aimed at decision making. As a result of this, Enterprise Resource Panning 
(ERP) has started to take place in our lives.   
The arise of ERP system is a result of combination of MRP and MRP II systems, 
and the improvements of these systems according to the technological developments. 
The one of the most important properties of ERP, which differs from all other","[ 0.01902948  0.03603311 -0.00813069 -0.05654394  0.01600676 -0.0061897
  0.11027564  0.09165857  0.06825379  0.00639372]"
"The one of the most important properties of ERP, which differs from all other 
systems, is it enables easy data access. In order to make a great rivalry, it is obvious that 
the resources must be managed efficiently. To do that, it requires, completely adapted, 
from planning to selling and from sending to accounting controllable flows, and 
qualified information infrastructure. At this point, ERP is a helper system, in order to","[-0.00746576  0.03379191 -0.00862344 -0.0004866   0.01254831  0.00594442
  0.06643067  0.04677075  0.07287529  0.02649595]"
"qualified information infrastructure. At this point, ERP is a helper system, in order to 
follow the resources efficiently and to give decisions related to these resources, from 
customer relations to production planning.  
Setting up of ERP and complete functionality after starting the installation 
requires long time and money. When an ERP system is purchased and applied to 
company, it is hard to return. Therefore, the company has to identify its needs and find","[ 0.0330766   0.02911635  0.03727483 -0.00402789  0.03134565 -0.04104597
  0.06780031  0.04640423  0.03000197 -0.01637278]"
"company, it is hard to return. Therefore, the company has to identify its needs and find 
the one which compensates all its requirements, in the purchasing period.  
 
 
xiv
 
In this report, Sentim Informatics, which has the greatest market share in the 
Turkish Informatics market and the first user of ERP system in Turkey, ERP system 
selection period has been investigated. The ERP packet software which will be most","[-0.01583383  0.04286474  0.00951767 -0.05920237 -0.01835844 -0.06178641
  0.10379659  0.08740884  0.0388602   0.0170121 ]"
"selection period has been investigated. The ERP packet software which will be most 
beneficial for the company is tried to be identified by means of the sent Offer Calling 
List (RFP) to the software companies and the applied questionnaire company 
employees. As a result of the conducted researches and the studies, the international IFS 
Company’s ERP packet software is seen appropriate. 
Key Words: ERP, MRP, MRP II 
 
 
1
 
GİRİŞ","[-0.04610528  0.0458313   0.03720376 -0.04922469  0.00033603 -0.03302321
  0.08977762  0.10243619  0.01535957 -0.01417692]"
"Company’s ERP packet software is seen appropriate. 
Key Words: ERP, MRP, MRP II 
 
 
1
 
GİRİŞ 
Bilgisayar ve iletişim teknolojilerinin gelişimine bağlı olarak işletmeler, çalışma 
kültürlerini sürekli değiştirmişlerdir. Bilgisayar sistemlerinin yaygın olmadığı 
dönemlerde, üretim ve iş takipleri kağıt ve dosyalar üzerinden yapılırken, günümüzde 
üretim için gereken tüm işlemler bilgisayarlar vasıtasıyla yapılmaktadır. Üretim","[-0.04699929  0.02520238  0.01660704 -0.08483806 -0.0388781  -0.05725994
  0.11779664  0.11377163 -0.02108648 -0.04552598]"
"üretim için gereken tüm işlemler bilgisayarlar vasıtasıyla yapılmaktadır. Üretim 
faaliyetlerinin planlanması için gereken yazılım sistemlerinin geldiği noktada ise 
Kurumsal Kaynak Planlaması (ERP) vardır. 
İşletmeler ürettikleri ürünleri tam zamanında ve uygun fiyatlarla müşterilere 
ulaştırmalıdırlar. Aksi takdirde gelişen rekabet ortamında varlıklarını sürdüremezler. 
Üretimin kaliteli ve zamanında yapılabilmesi için işletme içi ve işletme dışı faaliyetlerin","[ 0.0361611   0.0365001   0.04970504 -0.0115625  -0.06268545 -0.04719309
  0.10134973  0.0125761  -0.02014383 -0.01105468]"
"Üretimin kaliteli ve zamanında yapılabilmesi için işletme içi ve işletme dışı faaliyetlerin 
tümü etkin bir şekilde planlanmalıdır. Günümüzde gelişen rekabet koşulları göz önünde 
bulundurulduğunda, bilgisayar sistemlerini kullanmak, işletme içi ve dışı veri akışını 
hızlandırıp verimliliği arttıracağından üretimin zamanında ve uygun fiyatlarla 
sunulmasına olanak verecektir. 
Değişik bölgelerde bulunan fabrika, tedarikçi firma ve dağıtım merkezlerinin","[ 0.06715968  0.00497724 -0.00097687  0.02904667 -0.05788166 -0.0337176
  0.08118284 -0.00486884 -0.00854757 -0.02767439]"
